Host,Parasitoid,Temp,Treat,Sex,individual,body_weight
PAL,G,24,M,F,12,0.072
PAL,G,24,M,F,13,0.15
PAL,G,24,M,F,14,0.104
PAL,G,24,M,F,15,0.078
PAL,G,24,M,F,16,0.12
PAL,G,24,M,F,17,0.088
PAL,G,24,M,F,18,0.069
PAL,G,24,M,F,19,0.093
PAL,G,24,M,F,20,0.059
PAL,L,24,M,F,1,0.135
PAL,L,24,M,F,2,0.11
PAL,L,24,M,F,3,0.161
PAL,L,24,M,F,4,0.108
PAL,L,24,M,F,5,0.128
PAL,L,24,M,F,6,0.112
PAL,L,24,M,F,7,0.126
PAL,L,24,M,F,8,0.11
PAL,L,24,M,F,9,0.135
PAL,L,24,M,F,10,0.127
PAL,L,24,M,F,11,0.08
PAL,L,24,M,F,12,0.112
PAL,L,24,M,F,13,0.089
PAL,L,24,M,F,14,0.071
PAL,L,24,M,F,15,0.083
PAL,L,24,M,F,16,0.114
PAL,L,24,M,F,17,0.114
PAL,L,24,M,F,18,0.12
PAL,L,24,M,F,19,0.067
PAL,L,24,M,F,20,0.097
PAL,A,20,M,F,1,0.082
PAL,A,20,M,F,2,0.122
PAL,A,20,M,F,3,0.106
PAL,A,20,M,F,4,0.132
PAL,A,20,M,F,5,0.098
PAL,A,20,M,F,6,0.132
PAL,A,20,M,F,7,
PAL,A,20,M,F,8,
PAL,A,20,M,F,9,
PAL,A,20,M,F,10,
PAL,A,20,M,F,11,
PAL,A,20,M,F,12,
PAL,A,20,M,F,13,
PAL,A,20,M,F,14,
PAL,A,20,M,F,15,
PAL,A,20,M,F,16,
PAL,A,20,M,F,17,
PAL,A,20,M,F,18,
PAL,A,20,M,F,19,
PAL,A,20,M,F,20,
PAL,G,20,M,F,1,0.109
PAL,G,20,M,F,2,0.084
PAL,G,20,M,F,3,0.084
PAL,G,20,M,F,4,0.083
PAL,G,20,M,F,5,0.083
PAL,G,20,M,F,6,0.096
PAL,G,20,M,F,7,0.139
PAL,G,20,M,F,8,0.104
PAL,G,20,M,F,9,0.097
PAL,G,20,M,F,10,0.116
PAL,G,20,M,F,11,0.09
PAL,G,20,M,F,12,0.107
PAL,G,20,M,F,13,
PAL,G,20,M,F,14,
PAL,G,20,M,F,15,
PAL,G,20,M,F,16,
PAL,G,20,M,F,17,
PAL,G,20,M,F,18,
PAL,G,20,M,F,19,
PAL,G,20,M,F,20,
PAL,L,20,M,F,1,0.114
PAL,L,20,M,F,2,0.097
PAL,L,20,M,F,3,0.132
PAL,L,20,M,F,4,0.12
PAL,L,20,M,F,5,0.105
PAL,L,20,M,F,6,0.135
PAL,L,20,M,F,7,0.132
PAL,L,20,M,F,8,0.124
PAL,L,20,M,F,9,0.111
PAL,L,20,M,F,10,0.111
PAL,L,20,M,F,11,0.115
PAL,L,20,M,F,12,0.122
PAL,L,20,M,F,13,0.106
PAL,L,20,M,F,14,0.111
PAL,L,20,M,F,15,0.112
PAL,L,20,M,F,16,0.085
PAL,L,20,M,F,17,0.145
PAL,L,20,M,F,18,0.081
PAL,L,20,M,F,19,0.121
PAL,L,20,M,F,20,0.115
PSA,D,28,N,F,1,0.065
PSA,D,28,N,F,2,0.049
PSA,D,28,N,F,3,0.06
PSA,D,28,N,F,4,0.056
PSA,D,28,N,F,5,0.048
PSA,D,28,N,F,6,0.062
PSA,D,28,N,F,7,0.051
PSA,D,28,N,F,8,0.058
PSA,D,28,N,F,9,0.055
PSA,D,28,N,F,10,0.063
PSA,D,28,N,F,11,0.05
PSA,D,28,N,F,12,0.052
PSA,D,28,N,F,13,0.049
PSA,D,28,N,F,14,0.063
PSA,D,28,N,F,15,0.054
PSA,D,28,N,F,16,0.068
PSA,D,28,N,F,17,0.055
PSA,D,28,N,F,18,0.06
PSA,D,28,N,F,19,0.054
PSA,D,28,N,F,20,0.052
PSA,G,24,N,F,1,0.052
PSA,G,24,N,F,2,0.067
PSA,G,24,N,F,3,0.045
PSA,G,24,N,F,4,0.049
PSA,G,24,N,F,5,0.061
PSA,G,24,N,F,6,0.042
PSA,G,24,N,F,7,0.048
PSA,G,24,N,F,8,0.038
PSA,G,24,N,F,9,0.064
PSA,G,24,N,F,10,0.062
PSA,G,24,N,F,11,0.065
PSA,G,24,N,F,12,0.062
PSA,G,24,N,F,13,0.051
PSA,G,24,N,F,14,0.036
PSA,D,24,N,F,1,0.065
PSA,D,24,N,F,2,0.056
PSA,D,24,N,F,3,0.054
PSA,D,24,N,F,4,0.057
PSA,D,24,N,F,5,0.05
PSA,D,24,N,F,6,0.047
PSA,D,24,N,F,7,0.051
PSA,D,24,N,F,8,0.049
PSA,D,24,N,F,9,0.054
PSA,D,24,N,F,10,0.049
PSA,D,24,N,F,11,0.062
PSA,D,24,N,F,12,0.049
PSA,D,24,N,F,13,0.054
PSA,D,24,N,F,14,0.062
PSA,D,24,N,F,15,0.065
PSA,D,24,N,F,16,0.062
PSA,D,24,N,F,17,0.048
PSA,D,24,N,F,18,0.068
PSA,D,24,N,F,19,0.052
PSA,D,24,N,F,20,0.061
PSA,G,20,N,F,1,0.066
PSA,G,20,N,F,2,0.046
PSA,G,20,N,F,3,0.056
PSA,G,20,N,F,4,0.063
PSA,G,20,N,F,5,0.048
PSA,G,20,N,F,6,0.059
PSA,G,20,N,F,7,0.057
PSA,G,20,N,F,8,0.058
PSA,G,20,N,F,9,0.05
PSA,G,20,N,F,10,0.066
PSA,G,20,N,F,11,0.052
PSA,G,20,N,F,12,0.06
PSA,G,20,N,F,13,
